date,end,start,high,low,volume,percent
2021-10-20,65.9791,64.2769,66.9671,63.5437,79.87K,2.65%
2021-10-19,64.2785,62.0302,64.454,61.451,80.16K,3.58%
2021-10-18,62.0563,61.5258,62.6236,60.0269,80.15K,0.86%
2021-10-17,61.5275,60.8655,61.6514,59.1434,53.39K,1.09%
2021-10-16,60.8611,61.6692,62.3292,60.1619,49.93K,-1.32%
2021-10-15,61.6725,57.3482,62.8928,56.8748,121.48K,7.54%
2021-10-14,57.3458,57.3704,58.5065,56.8668,59.84K,-0.06%
2021-10-13,57.3801,56.0145,57.6974,54.3144,73.62K,2.44%
2021-10-12,56.0159,57.4806,57.6357,54.1554,74.85K,-2.54%
2021-10-11,57.4773,54.6869,57.8141,54.4578,73.84K,5.10%
2021-10-10,54.6877,54.9425,56.4322,54.1008,104.43K,-0.46%
2021-10-09,54.9425,53.9241,55.4308,53.7117,64.65K,1.91%
2021-10-08,53.9147,53.7855,55.9779,53.6593,64.05K,0.24%
2021-10-07,53.7839,55.3252,55.3256,53.4764,75.68K,-2.78%
2021-10-06,55.3232,51.47,55.6761,50.4395,116.26K,7.49%
2021-10-05,51.4693,49.2295,51.8724,49.0601,76.63K,4.55%
2021-10-04,49.2273,48.2004,49.4817,46.9586,66.92K,2.13%
2021-10-03,48.2001,47.6654,49.1652,47.123,42.41K,1.12%
2021-10-02,47.6669,48.1472,48.3069,47.4517,39.82K,-1.00%
2021-10-01,48.146,43.8244,48.4352,43.2929,94.66K,9.86%
