"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 6월","30,262.2","31,793.1","31,969.9","29,235.0","756.40K","-4.82%"
"2022년 5월","31,793.4","37,642.0","40,021.0","26,500.5","4.67B","-15.56%"
"2022년 4월","37,650.0","45,529.0","47,435.0","37,596.0","12.14B","-17.30%"
"2022년 3월","45,525.0","43,187.2","48,199.0","37,182.1","43.70B","5.41%"
"2022년 2월","43,188.2","38,475.6","45,755.2","34,357.4","1.82M","12.18%"
"2022년 1월","38,498.6","46,217.5","47,944.9","32,985.6","2.03M","-16.70%"
"2021년 12월","46,219.5","56,891.7","59,064.3","42,587.8","1.90M","-18.75%"
"2021년 11월","56,882.9","61,310.1","68,990.6","53,448.3","1.85M","-7.22%"
"2021년 10월","61,309.6","43,824.4","66,967.1","43,292.9","2.18M","39.90%"
"2021년 9월","43,823.3","47,129.2","52,885.3","39,646.8","2.21M","-7.02%"
"2021년 8월","47,130.4","41,510.0","50,498.8","37,365.4","2.14M","13.42%"
"2021년 7월","41,553.7","35,030.7","42,285.3","29,310.2","2.44M","18.63%"
"2021년 6월","35,026.9","37,294.3","41,318.0","28,901.8","4.14M","-6.09%"
